month,year,date,well_number,depth_to_water,depth_to_water-neg,change
August,2008,8/1/08,20,90,-90,-9.5
August,2009,8/1/09,20,102.6,-102.6,-12.6
August,2010,8/1/10,20,75.4,-75.4,27.2
August,2011,8/1/11,20,79.3,-79.3,-3.9
August,2012,8/1/12,20,73,-73,6.3
August,2013,8/1/13,20,83.6,-83.6,-10.6
December,2007,12/1/07,20,60.5,-60.5,NaN
December,2008,12/1/08,20,58,-58,2.5
December,2009,12/1/09,20,55,-55,3.0
December,2011,12/1/11,20,43.2,-43.2,11.8
December,2012,12/1/12,20,57.4,-57.4,-14.2
December,2013,12/1/13,20,45.3,-45.3,12.1
February,2008,2/1/08,20,37,-37,NaN
February,2009,2/1/09,20,52,-52,-15.0
February,2010,2/1/10,20,57,-57,-5.0
February,2011,2/1/11,20,42.2,-42.2,14.8
February,2012,2/1/12,20,43.2,-43.2,-1.0
February,2013,2/1/13,20,44.2,-44.2,-1.0
February,2014,2/1/14,20,55.5,-55.5,-11.3
January,2007,1/1/07,20,59.5,-59.5,NaN
January,2008,1/1/08,20,43.2,-43.2,16.3
January,2009,1/1/09,20,58,-58,-14.8
January,2010,1/1/10,20,62,-62,-4.0
January,2011,1/1/11,20,45.4,-45.4,16.6
January,2012,1/1/12,20,44.3,-44.3,1.1
January,2013,1/1/13,20,46.5,-46.5,-2.2
January,2014,1/1/14,20,60.3,-60.3,-13.8
July,2007,7/1/07,20,88.3,-88.3,NaN
July,2008,7/1/08,20,83.3,-83.3,5.0
July,2009,7/1/09,20,104.1,-104.1,-20.8
July,2010,7/1/10,20,80.9,-80.9,23.2
July,2011,7/1/11,20,71.8,-71.8,9.1
July,2012,7/1/12,20,74.2,-74.2,-2.4
July,2013,7/1/13,20,82.5,-82.5,-8.3
July,2014,7/1/14,20,106.2,-106.2,-23.7
June,2008,6/1/08,20,81.3,-81.3,NaN
June,2009,6/1/09,20,63.2,-63.2,18.1
June,2010,6/1/10,20,70.4,-70.4,-7.2
June,2011,6/1/11,20,69.1,-69.1,1.3
